identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF10/0104/A089,AG,37.274627,13.569249,50.0,4126293.09,2393151.05
PF04/0105/A089,AG,37.265649,13.57783,50.0,4125285.43,2393896.94
PF10/0172/A089,AG,37.246747,13.609856,10.0,4123146.0,2396706.0
PF18/0172/A089,AG,37.248623,13.608434,12.0,4123356.0,2396583.0
PF19/0172/A089,AG,37.250284,13.605664,12.0,4123544.0,2396340.0
PF74/0173/A089,AG,37.23629,13.617397,12.0,4121976.0,2397358.0
PF75/0173/A089,AG,37.23495,13.620815,12.0,4121823.0,2397659.0
PF76/0173/A089,AG,37.238016,13.617839,12.0,4122167.0,2397400.0
PF25/0191/A089,AG,37.263248,13.577047,12.0,4125020.13,2393823.5
PF26/0191/A089,AG,37.262484,13.58027,3.0,4124931.01,2394108.04
PF27/0191/A089,AG,37.261297,13.582067,4.0,4124796.94,2394265.36
PF50/0030/C356,AG,37.432175,13.399982,12.0,4144014.179,2378438.929
PF35/0039/C356,AG,37.394076,13.291258,10.0,4139955.694,2368742.118
PF36/0039/C356,AG,37.393113,13.292933,10.0,4139846.21,2368888.505
PF38/0039/C356,AG,37.392601,13.290257,10.0,4139793.604,2368650.555
PF18/0069/E573,AG,40.405719,16.555217,10.0,4473956.88,2651976.27
PF20/0069/E573,AG,37.119933,13.857332,52.0,4108782.86,2418486.77
PF23/0094/E573,AG,37.119505,13.857823,10.0,4108734.83,2418529.83
PF24/0094/E573,AG,37.11706,13.858976,10.0,4108462.3,2418628.98
PF19/0095/E573,AG,37.107413,13.870664,12.0,4107379.63,2419654.7
PF14/0110/E573,AG,37.10685,13.965387,52.0,4107221.27,2428070.95
PF47/0112/E573,AG,37.109852,13.986073,10.0,4107534.597,2429912.653
PF04/0113/E573,AG,37.109658,13.988633,50.0,4107510.55,2430139.91
PF15/0113/E573,AG,37.109846,13.991887,10.0,4107528.39,2430429.23
PF19/0115/E573,AG,37.108766,14.014154,10.0,4107387.802,2432406.477
PF16/0116/E573,AG,37.098121,13.893485,50.0,4106324.89,2421670.52
PF24/0116/E573,AG,37.099262,13.889608,50.0,4106455.48,2421327.48
PF24/0119/E573,AG,37.100553,13.9262,52.0,4106561.34,2424580.95
PF27/0119/E573,AG,37.096145,13.932615,50.0,4106065.92,2425145.58
PF34/0119/E573,AG,37.097039,13.930691,10.0,4106166.95,2424975.689
PF01/0121/E573,AG,37.096302,13.941036,8.0,4106074.94,2425894.13
PF07/0121/E573,AG,37.098959,13.94247,50.0,4106368.31,2426024.88
PF08/0121/E573,AG,37.09263,13.935157,10.0,4105673.33,2425367.11
PF09/0121/E573,AG,37.09171,13.932642,10.0,4105573.804,2425142.41
PF03/0122/E573,AG,37.104179,13.957582,52.0,4106932.59,2427374.12
PF05/0122/E573,AG,37.103318,13.953975,50.0,4106840.56,2427052.56
PF07/0122/E573,AG,37.10052,13.94975,50.0,4106534.25,2426673.68
PF08/0122/E573,AG,37.102531,13.951425,50.0,4106755.71,2426825.05
PF10/0122/E573,AG,37.105043,13.951982,10.0,4107033.899,2426877.62
PF11/0122/E573,AG,37.102138,13.948911,10.0,4106714.603,2426601.104
PF12/0122/E573,AG,37.10343,13.947933,12.0,4106858.865,2426515.821
PF01/0123/E573,AG,37.09992,13.945618,50.0,4106471.8,2426305.76
PF02/0123/E573,AG,37.097875,13.947117,10.0,4106243.38,2426436.48
PF14/0075/F126,AG,37.578252,12.912674,10.0,4161067.32,2335679.01
PF15/0075/F126,AG,37.577821,12.904763,10.0,4161034.991,2334979.304
PF12/0076/F126,AG,37.574953,12.907114,12.0,4160712.198,2335179.819
PF13/0076/F126,AG,37.574339,12.904898,10.0,4160648.374,2334982.569
PF14/0076/F126,AG,37.574345,12.903076,10.0,4160652.61,2334821.66
PF16/0076/F126,AG,37.573537,12.905244,10.0,4160558.679,2335011.143
PF07/0077/F126,AG,37.578264,12.915427,10.0,4161063.21,2335922.19
PF13/0083/F126,AG,37.574647,12.931251,10.0,4160631.0,2337310.825
PF14/0084/F126,AG,37.573552,12.939987,10.0,4160492.45,2338079.72
PF15/0084/F126,AG,37.573657,12.937289,10.0,4160509.403,2337841.755
PF17/0084/F126,AG,37.572645,12.943035,12.0,4160385.915,2338346.757
PF12/0091/F126,AG,37.562737,12.963226,10.0,4159247.68,2340106.228
PF14/0091/F126,AG,37.565081,12.959967,10.0,4159514.0,2339824.0
PF15/0091/F126,AG,37.56455,12.95922,10.0,4159456.548,2339756.701
PF07/0096/F126,AG,37.552054,12.978068,50.0,4158033.86,2341391.796
PF08/0096/F126,AG,37.554214,12.975292,12.0,4158278.876,2341151.658
PF04/0099/F126,AG,37.549349,12.984349,50.0,4157721.75,2341940.216
PF31/0019/F299,AG,37.289097,13.494775,10.0,4128000.98,2386573.32
PF33/0019/F299,AG,37.290501,13.495567,12.0,4128155.615,2386645.936
PF16/0020/F299,AG,37.29252,13.501531,10.0,4128371.26,2387178.23
PF17/0020/F299,AG,37.292654,13.509166,12.0,4128375.482,2387855.264
PF21/0020/F299,AG,37.292827,13.506543,12.0,4128398.274,2387623.02
PF03/0021/F299,AG,37.292334,13.512146,50.0,4128335.77,2388118.83
PF13/0021/F299,AG,37.292457,13.510348,12.0,4128351.891,2387959.725
PF13/0025/F299,AG,37.287228,13.524024,10.0,4127752.74,2389162.966
PF14/0025/F299,AG,37.284662,13.532457,12.0,4127456.4,2389906.135
PF15/0025/F299,AG,37.288787,13.520087,10.0,4127931.233,2388816.603
PF22/0003/F414,AG,37.396286,13.291862,12.0,4140200.0,2368800.0
PF13/0006/F414,AG,37.398106,13.351312,10.0,4140308.21,2374066.427
PF19/0002/G282,AG,37.190307,13.678317,10.0,4116797.07,2402690.987
PF05/0021/G282,AG,37.173956,13.707581,50.0,4114947.225,2405263.782
PF12/0042/G282,AG,37.172244,13.718983,50.0,4114743.523,2406273.593
PF06/0044/G282,AG,37.171225,13.72431,50.0,4114624.103,2406745.013
PF07/0044/G282,AG,37.168909,13.729485,52.0,4114360.966,2407201.037
PF03/0075/G282,AG,37.147002,13.788308,50.0,4111862.05,2412392.68
PF14/0078/G282,AG,37.145873,13.816664,50.0,4111705.02,2414909.55
PF12/0007/H205,AG,37.31704,13.419525,12.0,4131210.17,2379954.17
PF08/0008/H205,AG,37.315144,13.419115,12.0,4131000.46,2379914.35
PF06/0009/H205,AG,37.307828,13.429625,50.0,4130173.2,2380832.27
PF05/0012/H205,AG,37.306163,13.435318,50.0,4129980.11,2381333.73
PF07/0012/H205,AG,37.302774,13.433858,56.0,4129606.24,2381198.13
PF14/0013/H205,AG,37.301417,13.441776,12.0,4129444.0,2381897.5
